ID,ClassID,SubclassID,Material,InventoryType,SheatheType,Sound_override_subclassID,IconFileDataID,ItemGroupSoundsID
17,4,4,6,4,3,-1,132759,11
25,2,7,1,21,3,-1,135274,8
35,2,10,2,17,2,-1,135145,13
36,2,4,2,21,3,-1,133478,8
37,2,0,1,21,3,-1,132402,8
38,4,0,7,4,0,-1,135009,7
39,4,4,6,7,0,-1,134582,8
40,4,4,6,8,0,-1,132540,8
41,4,0,7,6,0,-1,132494,7
42,4,0,7,6,0,-1,132494,7
43,4,4,6,8,0,-1,132535,8
44,4,4,6,7,0,-1,134582,8
45,4,0,7,4,0,-1,135005,7
46,4,0,7,6,0,-1,132495,7
47,4,2,7,8,0,-1,132539,7
48,4,2,7,7,0,-1,134582,7
49,4,0,7,4,0,-1,135009,7
50,4,0,7,6,0,-1,132493,7
51,4,1,7,8,0,-1,132538,7
52,4,1,7,7,0,-1,134582,7
53,4,0,7,4,0,-1,135005,7
54,4,0,7,6,0,-1,132493,7
55,4,1,7,8,0,-1,132543,7
56,4,1,7,20,0,-1,132664,7
57,4,1,7,20,0,-1,132665,7
58,4,0,7,6,0,-1,132492,7
59,4,1,7,8,0,-1,132535,7
60,4,2,8,5,0,-1,132724,7
61,4,2,8,7,0,-1,443401,7
77,4,1,7,5,0,-1,135006,7
79,4,1,7,7,0,-1,443400,7
80,4,1,7,8,0,-1,132543,7
85,4,2,8,5,0,-1,135011,7
86,4,0,7,6,0,-1,132493,7
87,4,0,7,8,0,-1,132535,7
88,4,1,7,7,0,-1,134582,7
89,4,0,7,4,0,-1,135011,7
90,4,0,7,6,0,-1,132494,7
91,4,1,7,7,0,-1,134582,7
92,4,0,7,8,0,-1,132535,7
93,4,0,7,4,0,-1,135005,7
94,4,0,7,6,0,-1,132494,7
95,4,0,7,8,0,-1,132535,7
97,4,1,7,20,0,-1,132662,7
98,4,0,7,6,0,-1,132493,7
99,4,0,7,8,0,-1,132535,7
100,4,1,7,7,0,-1,134582,7
101,4,0,7,4,0,-1,135005,7
102,4,0,7,6,0,-1,132494,7
103,4,0,7,8,0,-1,132535,7
104,4,1,7,7,0,-1,134582,7
105,4,0,7,4,0,-1,135005,7
113,4,1,7,7,0,-1,134582,7
114,4,0,7,8,0,-1,132535,7
115,4,0,7,6,0,-1,132493,7
117,0,5,0,0,0,-1,133972,15
118,0,1,3,0,0,-1,134829,17
119,4,0,7,4,0,-1,135005,7
120,4,2,7,7,0,-1,134582,7
121,4,2,7,8,0,-1,132539,7
122,4,0,7,6,0,-1,132493,7
123,4,0,7,4,0,-1,135005,7
124,4,1,7,7,0,-1,134582,7
125,4,0,7,8,0,-1,132535,7
126,4,0,7,6,0,-1,132494,7
127,4,0,7,4,0,-1,135011,7
128,4,1,7,7,0,-1,134582,7
129,4,3,5,8,0,-1,132540,10
130,4,0,7,6,0,-1,132494,7
131,4,0,7,6,0,-1,133693,7
